"","V1","V2","V3","V4","V5","V6","V7","V8"
"result.1",-0.0975331319095621,0.990098022484625,0.0595006599095493,8.93569059334835,-0.141134754054384,0.985232745183333,0.10244797890111,11.2688372058161
"result.2",-0.106679835479964,0.989129626136161,0.0835905491116673,9.85417637584572,-0.146891349578252,0.98463906947304,0.104358515760517,11.5991379996894
"result.3",-0.14487792018204,0.985014918900399,0.0846732342707501,10.4813126400336,-0.137406650330271,0.985649325404653,0.100175947588906,10.2582879820257
"result.4",-0.0987086580520538,0.989676815304759,0.0639184756540276,9.09780712255509,-0.148481927700672,0.984484994968918,0.103864582208375,11.4883298245631
"result.5",-0.310631042768012,0.967886304768237,0.124252861296888,10.0560643620175,-0.14973825036539,0.984320315193151,0.104983689796384,12.1112305219666
"result.6",-0.131990198074074,0.986334171195558,0.0842493370931388,11.0251499703113,-0.140376046028973,0.985308724978631,0.102560341269342,12.5077342285062
"result.7",-0.142589246535006,0.985056955186897,0.0800970586484901,9.31414110663113,-0.157187304905425,0.983545910451566,0.108129926156409,13.6095671873113
"result.8",-0.141786065239329,0.985483960699067,0.0891388580027633,10.1064426666089,-0.151230346602823,0.984143215389445,0.106153211783626,13.6238622205179
"result.10",-0.147840196079964,0.984575974282261,0.0890881996903621,10.7811449590692,-0.142371436122442,0.985110582449839,0.102217964380572,11.8324568305445
"result.11",-0.0991153172873983,0.990098454687942,0.07271706621585,10.2030721527333,-0.142967778564934,0.985059439276404,0.101735213023288,10.353138817679
"result.12",-0.13989064081215,0.9855639125025,0.0930463702674788,10.114252207552,-0.132894455654651,0.986077144150635,0.0999362552076793,11.4777203384458
"result.13",-0.101916155997102,0.99009663361803,0.0791436186932972,10.8617195498272,-0.148656756339287,0.984395174094318,0.106777339314771,24.7476387183191
"result.14",-0.100858347474486,0.989814044246708,0.0704244215186484,9.78485450758357,-0.128538283978732,0.986563629610334,0.0970751656043274,11.1506012753304
"result.15",-0.656610394219912,0.931746502290952,0.172647770061154,10.4752460439992,-0.132038907734338,0.986197873973179,0.098862386314647,10.700818865492
"result.16",-0.315088400294272,0.967474201912985,0.130837470237716,11.4284119738998,-0.146608751701158,0.984591849010162,0.103940786428513,13.4733656261888
"result.17",-0.117414540120196,0.987894200969603,0.0864291290874719,9.8772091642918,-0.147571396528367,0.984540087414732,0.104725463648827,13.3668456346949
"result.18",-0.100510877379337,0.990094649982828,0.0808562558849289,10.3307620463649,-0.149290748593435,0.984374282228877,0.105820945888387,12.43420576683
"result.19",-0.0975759476234663,0.990098613256288,0.068444837797712,10.4967805796149,-0.13252758509653,0.986131974915435,0.0989176575552808,10.8040184799602
"result.20",-0.151634147008919,0.984064187705837,0.0908039212209729,10.7117314283611,-0.141836593111914,0.985154238613703,0.103414225305603,12.1962759871544
"result.21",-0.0996865513781669,0.990098992914569,0.0832516151894871,10.1627209053052,-0.147816483290968,0.984554515689064,0.103804900369331,10.6868806850978
"result.22",-0.109450759414585,0.988811755561957,0.0772195405528771,9.81368135772319,-0.129333428439079,0.986447307241289,0.0992694367292319,12.1539792044562
"result.23",-0.486170906513147,0.949676836656139,0.15707880819094,11.5341965023206,-0.147241179395692,0.98454955787433,0.105402232901775,20.0486372877022
"result.24",-0.100522084357038,0.990098996853539,0.0787702073270614,10.1430125011165,-0.138690612710912,0.985460754113419,0.10261092982042,13.1754535786479
"result.25",-0.0974892904663646,0.990085367755204,0.0626554578219079,9.25871379090308,-0.134673014704625,0.985916969151146,0.0989118549316823,11.2260940740292
"result.27",-0.0978511130135108,0.990097697516126,0.0723534981861111,10.1862844437038,-0.148109670262127,0.984500955888203,0.104879205652393,12.8390004889515
"result.28",-0.100176676480099,0.990098470637368,0.0748638688935885,10.5685185249327,-0.12902671650083,0.986503225517315,0.09780262343476,11.3624985932784
"result.30",-0.617053776592865,0.935656941028439,0.176924219375279,12.0718850113132,-0.147802072425726,0.984555190285046,0.104998224569144,11.4755626058141
"result.31",-1.66931710267869,0.825285763165712,0.266264683972161,11.2682687419384,-0.149714494629704,0.984333526769048,0.107011104273907,12.8860691737904
"result.32",-0.0980324487596962,0.990098882272391,0.066157181326919,9.7730090424545,-0.153324872770672,0.983933041103655,0.108430129662652,14.8230688360739
"result.34",-0.0996094561929388,0.990098986800822,0.0759209616515105,9.44507260633211,-0.138097738368198,0.985549048487318,0.10162489312568,12.1053801181147
"result.35",-0.100229568411452,0.990098425457071,0.0872962278099614,10.5278649801996,-0.124517108279971,0.986975760366287,0.0954543694004261,10.2555058318923
"result.38",-0.100948245900785,0.990096453198837,0.0765670631221989,9.53240067193201,-0.131806408322378,0.986235951623413,0.0989436698911598,10.0915919204695
